"STATISTIC","STATISTIC Label","TLIST(Q1)","Quarter","C03349V04063","Eircode Output","UNIT","VALUE"
"NDQ07","New Dwelling Completion","20122","2012Q2","H16","H16: Cootehill","Number","4"
"NDQ07","New Dwelling Completion","20122","2012Q2","H18","H18: Monaghan","Number","8"
"NDQ07","New Dwelling Completion","20122","2012Q2","H23","H23: Clones","Number","2"
"NDQ07","New Dwelling Completion","20122","2012Q2","H53","H53: Ballinasloe","Number","11"
"NDQ07","New Dwelling Completion","20122","2012Q2","H54","H54: Tuam","Number","8"
"NDQ07","New Dwelling Completion","20122","2012Q2","H62","H62: Loughrea","Number","4"
"NDQ07","New Dwelling Completion","20122","2012Q2","H65","H65: Athenry","Number","8"
"NDQ07","New Dwelling Completion","20122","2012Q2","H71","H71: Clifden","Number","1"
"NDQ07","New Dwelling Completion","20122","2012Q2","H91","H91: Galway","Number","46"
"NDQ07","New Dwelling Completion","20122","2012Q2","K32","K32: Balbriggan","Number","5"
"NDQ07","New Dwelling Completion","20122","2012Q2","K34","K34: Skerries","Number","3"
"NDQ07","New Dwelling Completion","20122","2012Q2","K36","K36: Malahide","Number","7"
"NDQ07","New Dwelling Completion","20122","2012Q2","K45","K45: Lusk","Number","0"
"NDQ07","New Dwelling Completion","20122","2012Q2","K56","K56: Rush","Number","2"
"NDQ07","New Dwelling Completion","20122","2012Q2","K67","K67: Swords","Number","2"
"NDQ07","New Dwelling Completion","20122","2012Q2","K78","K78: Lucan","Number","2"
"NDQ07","New Dwelling Completion","20122","2012Q2","N37","N37: Athlone","Number","9"
"NDQ07","New Dwelling Completion","20122","2012Q2","N39","N39: Longford","Number","25"
"NDQ07","New Dwelling Completion","20122","2012Q2","N41","N41: Carrick-on-Shannon","Number","7"
"NDQ07","New Dwelling Completion","20122","2012Q2","N91","N91: Mullingar","Number","16"
"NDQ07","New Dwelling Completion","20122","2012Q2","P12","P12: Macroom","Number","11"
"NDQ07","New Dwelling Completion","20122","2012Q2","P14","P14: Crookstown","Number","1"
"NDQ07","New Dwelling Completion","20122","2012Q2","P17","P17: Kinsale","Number","9"
"NDQ07","New Dwelling Completion","20122","2012Q2","P24","P24: Cobh","Number","0"
"NDQ07","New Dwelling Completion","20122","2012Q2","P25","P25: Midleton","Number","8"
"NDQ07","New Dwelling Completion","20122","2012Q2","P31","P31: Ballincollig","Number","19"
"NDQ07","New Dwelling Completion","20122","2012Q2","P32","P32: Rylane","Number","3"
"NDQ07","New Dwelling Completion","20122","2012Q2","P36","P36: Youghal","Number","4"
"NDQ07","New Dwelling Completion","20122","2012Q2","P43","P43: Carrigaline","Number","5"
"NDQ07","New Dwelling Completion","20122","2012Q2","P47","P47: Dunmanway","Number","7"
"NDQ07","New Dwelling Completion","20122","2012Q2","P51","P51: Mallow","Number","21"
"NDQ07","New Dwelling Completion","20122","2012Q2","P56","P56: Charleville","Number","5"
"NDQ07","New Dwelling Completion","20122","2012Q2","P61","P61: Fermoy","Number","2"
"NDQ07","New Dwelling Completion","20122","2012Q2","P67","P67: Mitchelstown","Number","5"
"NDQ07","New Dwelling Completion","20122","2012Q2","P72","P72: Bandon","Number","9"
"NDQ07","New Dwelling Completion","20122","2012Q2","P75","P75: Bantry","Number","4"
"NDQ07","New Dwelling Completion","20122","2012Q2","P81","P81: Skibbereen","Number","11"
"NDQ07","New Dwelling Completion","20122","2012Q2","P85","P85: Clonakilty","Number","7"
"NDQ07","New Dwelling Completion","20122","2012Q2","R14","R14: Athy","Number","7"
"NDQ07","New Dwelling Completion","20122","2012Q2","R21","R21: Mhuine Bheag","Number","4"
"NDQ07","New Dwelling Completion","20122","2012Q2","R32","R32: Portlaoise","Number","42"
"NDQ07","New Dwelling Completion","20122","2012Q2","R35","R35: Tullamore","Number","6"
"NDQ07","New Dwelling Completion","20122","2012Q2","R42","R42: Birr","Number","8"
"NDQ07","New Dwelling Completion","20122","2012Q2","R45","R45: Edenderry","Number","0"
"NDQ07","New Dwelling Completion","20122","2012Q2","R51","R51: Kildare","Number","3"
"NDQ07","New Dwelling Completion","20122","2012Q2","R56","R56: Curragh","Number","0"
"NDQ07","New Dwelling Completion","20122","2012Q2","R93","R93: Carlow","Number","8"
"NDQ07","New Dwelling Completion","20122","2012Q2","R95","R95: Kilkenny","Number","12"
"NDQ07","New Dwelling Completion","20122","2012Q2","T12","T12: Cork Southside","Number","10"
"NDQ07","New Dwelling Completion","20122","2012Q2","T23","T23: Cork Northside","Number","5"
"NDQ07","New Dwelling Completion","20122","2012Q2","T34","T34: Carrignavar","Number","0"
"NDQ07","New Dwelling Completion","20122","2012Q2","T45","T45: Glanmire","Number","5"
"NDQ07","New Dwelling Completion","20122","2012Q2","T56","T56: Watergrasshill","Number","2"
"NDQ07","New Dwelling Completion","20122","2012Q2","V14","V14: Shannon","Number","1"
"NDQ07","New Dwelling Completion","20122","2012Q2","V15","V15: Kilrush","Number","1"
"NDQ07","New Dwelling Completion","20122","2012Q2","V23","V23: Caherciveen","Number","3"
"NDQ07","New Dwelling Completion","20122","2012Q2","V31","V31: Listowel","Number","3"
"NDQ07","New Dwelling Completion","20122","2012Q2","V35","V35: Kilmallock","Number","19"
"NDQ07","New Dwelling Completion","20122","2012Q2","V42","V42: Newcastle West","Number","1"
"NDQ07","New Dwelling Completion","20122","2012Q2","V92","V92: Tralee","Number","18"
"NDQ07","New Dwelling Completion","20122","2012Q2","V93","V93: Killarney","Number","22"
"NDQ07","New Dwelling Completion","20122","2012Q2","V94","V94: Limerick","Number","44"
"NDQ07","New Dwelling Completion","20122","2012Q2","V95","V95: Ennis","Number","26"
"NDQ07","New Dwelling Completion","20122","2012Q2","W12","W12: Newbridge","Number","0"
"NDQ07","New Dwelling Completion","20122","2012Q2","W23","W23: Celbridge","Number","13"
"NDQ07","New Dwelling Completion","20122","2012Q2","W34","W34: Monasterevin","Number","1"
"NDQ07","New Dwelling Completion","20122","2012Q2","W91","W91: Naas","Number","25"
"NDQ07","New Dwelling Completion","20122","2012Q2","X35","X35: Dungarvan","Number","2"
"NDQ07","New Dwelling Completion","20122","2012Q2","X42","X42: Kilmacthomas","Number","2"
"NDQ07","New Dwelling Completion","20122","2012Q2","X91","X91: Waterford","Number","11"
"NDQ07","New Dwelling Completion","20122","2012Q2","Y14","Y14: Arklow","Number","5"
"NDQ07","New Dwelling Completion","20122","2012Q2","Y21","Y21: Enniscorthy","Number","15"
"NDQ07","New Dwelling Completion","20122","2012Q2","Y25","Y25: Gorey","Number","10"
"NDQ07","New Dwelling Completion","20122","2012Q2","Y34","Y34: New Ross","Number","8"
"NDQ07","New Dwelling Completion","20122","2012Q2","Y35","Y35: Wexford","Number","17"
"NDQ07","New Dwelling Completion","20123","2012Q3","-","All","Number","1205"
"NDQ07","New Dwelling Completion","20123","2012Q3","A41","A41: Ballyboughal","Number","2"
"NDQ07","New Dwelling Completion","20123","2012Q3","A42","A42: Garristown","Number","3"
"NDQ07","New Dwelling Completion","20123","2012Q3","A45","A45: Oldtown","Number","0"
"NDQ07","New Dwelling Completion","20123","2012Q3","A63","A63: Greystones","Number","17"
"NDQ07","New Dwelling Completion","20123","2012Q3","A67","A67: Wicklow","Number","8"
"NDQ07","New Dwelling Completion","20123","2012Q3","A75","A75: Castleblaney","Number","8"
"NDQ07","New Dwelling Completion","20123","2012Q3","A81","A81: Carrickmacross","Number","8"
"NDQ07","New Dwelling Completion","20123","2012Q3","A82","A82: Kells","Number","12"
"NDQ07","New Dwelling Completion","20123","2012Q3","A83","A83: Enfield","Number","5"
"NDQ07","New Dwelling Completion","20123","2012Q3","A84","A84: Ashbourne","Number","7"
"NDQ07","New Dwelling Completion","20123","2012Q3","A85","A85: Dunshaughlin","Number","1"
"NDQ07","New Dwelling Completion","20123","2012Q3","A86","A86: Dunboyne","Number","1"
"NDQ07","New Dwelling Completion","20123","2012Q3","A91","A91: Dundalk","Number","18"
"NDQ07","New Dwelling Completion","20123","2012Q3","A92","A92: Drogheda","Number","46"
"NDQ07","New Dwelling Completion","20123","2012Q3","A94","A94: Blackrock","Number","3"
"NDQ07","New Dwelling Completion","20123","2012Q3","A96","A96: Glenageary","Number","20"
"NDQ07","New Dwelling Completion","20123","2012Q3","A98","A98: Bray","Number","20"
"NDQ07","New Dwelling Completion","20123","2012Q3","C15","C15: Navan","Number","15"
"NDQ07","New Dwelling Completion","20123","2012Q3","D01","D01: Dublin 1","Number","0"
"NDQ07","New Dwelling Completion","20123","2012Q3","D02","D02: Dublin 2","Number","6"
"NDQ07","New Dwelling Completion","20123","2012Q3","D03","D03: Dublin 3","Number","9"
"NDQ07","New Dwelling Completion","20123","2012Q3","D04","D04: Dublin 4","Number","12"
"NDQ07","New Dwelling Completion","20123","2012Q3","D05","D05: Dublin 5","Number","2"
"NDQ07","New Dwelling Completion","20123","2012Q3","D06","D06: Dublin 6","Number","11"
"NDQ07","New Dwelling Completion","20123","2012Q3","D07","D07: Dublin 7","Number","1"
"NDQ07","New Dwelling Completion","20123","2012Q3","D08","D08: Dublin 8","Number","2"
"NDQ07","New Dwelling Completion","20123","2012Q3","D09","D09: Dublin 9","Number","21"
"NDQ07","New Dwelling Completion","20123","2012Q3","D10","D10: Dublin 10","Number","1"
"NDQ07","New Dwelling Completion","20123","2012Q3","D11","D11: Dublin 11","Number","1"
